Indicator Code: CG0000
"Indicator Name: All Causes"
Export date: 10/29/2025 8:24:07 PM
Source location: "WHO Mortality Database portal"
"Indicator metadata: A00-Y89"

Region Code,Region Name,Country Code,Country Name,Year,Sex,Age group code,Age Group,Number,Percentage of cause-specific deaths out of total deaths,"Age-standardized death rate per 100 000 standard population","Death rate per 100 000 population"
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,1956,Female,Age20_24,[20-24],878.00000000,100.00000000,,54.34513493,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,1956,Female,Age25_29,[25-29],1253.00000000,100.00000000,,73.36495111,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,1956,Female,Age30_34,[30-34],1948.00000000,100.00000000,,105.13249501,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,1956,Female,Age35_39,[35-39],2722.00000000,100.00000000,,153.02451091,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,1956,Female,Age40_44,[40-44],4401.00000000,100.00000000,,233.43764918,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,1956,Female,Age45_49,[45-49],7070.00000000,100.00000000,,372.26200505,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,1956,Female,Age50_54,[50-54],10078.00000000,100.00000000,,557.62739999,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,1956,Female,Age55_59,[55-59],14363.00000000,100.00000000,,879.81623277,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,1956,Female,Age60_64,[60-64],20957.00000000,100.00000000,,1462.15028260,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,1956,Female,Age65_69,[65-69],30157.00000000,100.00000000,,2446.21998700,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,1956,Female,Age70_74,[70-74],42408.00000000,100.00000000,,4240.80000000,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,1956,Female,Age75_79,[75-79],51969.00000000,100.00000000,,7331.96952600,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,1956,Female,Age80_84,[80-84],47859.00000000,100.00000000,,12460.03644900,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,1956,Female,Age85_over,[85+],43248.00000000,100.00000000,,22536.73788400,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,1957,Female,Age00,[0],8689.00000000,100.00000000,,2186.46200300,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,1957,Female,Age01_04,[1-4],1345.00000000,100.00000000,,89.35095994,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,1957,Female,Age05_09,[5-9],696.00000000,100.00000000,,35.34250749,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,1957,Female,Age10_14,[10-14],606.00000000,100.00000000,,30.84440373,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,1957,Female,Age15_19,[15-19],730.00000000,100.00000000,,44.96181325,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,1957,Female,Age20_24,[20-24],884.00000000,100.00000000,,54.91706529,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,1957,Female,Age25_29,[25-29],1260.00000000,100.00000000,,74.53857075,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,1957,Female,Age30_34,[30-34],1822.00000000,100.00000000,,101.25034732,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,1957,Female,Age35_39,[35-39],2899.00000000,100.00000000,,157.62287951,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,1957,Female,Age40_44,[40-44],4381.00000000,100.00000000,,238.83770376,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,1957,Female,Age45_49,[45-49],7023.00000000,100.00000000,,370.41139241,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,1957,Female,Age50_54,[50-54],10281.00000000,100.00000000,,564.17713878,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,1957,Female,Age55_59,[55-59],14571.00000000,100.00000000,,880.31657806,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,1957,Female,Age60_64,[60-64],21148.00000000,100.00000000,,1453.77053690,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,1957,Female,Age65_69,[65-69],29680.00000000,100.00000000,,2377.82406670,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,1957,Female,Age70_74,[70-74],41772.00000000,100.00000000,,4119.52662720,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,1957,Female,Age75_79,[75-79],49560.00000000,100.00000000,,6838.69187250,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,1957,Female,Age80_84,[80-84],46464.00000000,100.00000000,,11584.14360500,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,1957,Female,Age85_over,[85+],41431.00000000,100.00000000,,20369.22320600,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,1958,Female,Age00,[0],8590.00000000,100.00000000,,2085.96406020,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,1958,Female,Age01_04,[1-4],1203.00000000,100.00000000,,79.00958886,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,1958,Female,Age05_09,[5-9],601.00000000,100.00000000,,31.56181073,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,1958,Female,Age10_14,[10-14],491.00000000,100.00000000,,24.09342951,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,1958,Female,Age15_19,[15-19],592.00000000,100.00000000,,35.87878788,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,1958,Female,Age20_24,[20-24],878.00000000,100.00000000,,54.01414949,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,1958,Female,Age25_29,[25-29],1117.00000000,100.00000000,,66.85420158,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,1958,Female,Age30_34,[30-34],1722.00000000,100.00000000,,97.63011679,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,1958,Female,Age35_39,[35-39],2774.00000000,100.00000000,,145.11404059,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,1958,Female,Age40_44,[40-44],4062.00000000,100.00000000,,233.12672176,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,1958,Female,Age45_49,[45-49],6862.00000000,100.00000000,,362.74250674,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,1958,Female,Age50_54,[50-54],10313.00000000,100.00000000,,560.85490537,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,1958,Female,Age55_59,[55-59],14474.00000000,100.00000000,,861.49633950,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,1958,Female,Age60_64,[60-64],20952.00000000,100.00000000,,1419.89699110,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,1958,Female,Age65_69,[65-69],29937.00000000,100.00000000,,2374.44479700,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,1958,Female,Age70_74,[70-74],42107.00000000,100.00000000,,4116.43366900,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,1958,Female,Age75_79,[75-79],51986.00000000,100.00000000,,7082.56130790,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,1958,Female,Age80_84,[80-84],49700.00000000,100.00000000,,12033.89830500,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,1958,Female,Age85_over,[85+],45357.00000000,100.00000000,,21816.73881700,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,1959,Female,Age00,[0],8763.00000000,100.00000000,,2088.91537540,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,1959,Female,Age01_04,[1-4],1308.00000000,100.00000000,,84.21865946,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,1959,Female,Age05_09,[5-9],620.00000000,100.00000000,,33.10904625,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,1959,Female,Age10_14,[10-14],597.00000000,100.00000000,,28.93563397,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,1959,Female,Age15_19,[15-19],633.00000000,100.00000000,,37.26159642,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,1959,Female,Age20_24,[20-24],868.00000000,100.00000000,,52.48518563,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,1959,Female,Age25_29,[25-29],1091.00000000,100.00000000,,66.33428589,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,1959,Female,Age30_34,[30-34],1626.00000000,100.00000000,,93.70677732,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,1959,Female,Age35_39,[35-39],2866.00000000,100.00000000,,144.17224206,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,1959,Female,Age40_44,[40-44],3789.00000000,100.00000000,,230.26435734,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,1959,Female,Age45_49,[45-49],6641.00000000,100.00000000,,350.81880613,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,1959,Female,Age50_54,[50-54],10076.00000000,100.00000000,,544.79589078,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,1959,Female,Age55_59,[55-59],14676.00000000,100.00000000,,860.30834164,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,1959,Female,Age60_64,[60-64],20955.00000000,100.00000000,,1399.05194280,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,1959,Female,Age65_69,[65-69],29900.00000000,100.00000000,,2341.79197990,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,1959,Female,Age70_74,[70-74],42299.00000000,100.00000000,,4091.60379180,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,1959,Female,Age75_79,[75-79],52299.00000000,100.00000000,,7039.84385520,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,1959,Female,Age80_84,[80-84],50093.00000000,100.00000000,,11761.68114600,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,1959,Female,Age85_over,[85+],46704.00000000,100.00000000,,21906.19137000,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,1960,Female,Age00,[0],8710.00000000,100.00000000,,2059.58855520,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,1960,Female,Age01_04,[1-4],1288.00000000,100.00000000,,80.53523417,
